name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,baseline_jw,yolo_wer,yolo_cer,yolo_pmr,yolo_bleu,yolo_cosine,yolo_indobert,yolo_jw,baseline_indobert_P,baseline_indobert_R,baseline_indobert_F1,yolo_indobert_P,yolo_indobert_R,yolo_indobert_F1
355,0.041666666666666664,0.0165016501650165,0.9791666666666666,0.957870874785216,0.954499768533531,"(0.9877489805221558, 0.9920655488967896, 0.9899025559425354)",0.9967532467532467,0.020833333333333332,0.0033003300330033004,0.9791666666666666,0.978482042633557,0.9691235339762346,"(0.9929782152175903, 0.9929782152175903, 0.9929782152175903)",0.9993421052631579,0.9877489805221558,0.9920655488967896,0.9899025559425354,0.9929782152175903,0.9929782152175903,0.9929782152175903
381,0.0847457627118644,0.05470287288469106,0.02824858757062147,0.8833445380981385,0.9852632697150394,"(0.9472812414169312, 0.9677841663360596, 0.9574229717254639)",0.8294109803961011,0.01694915254237288,0.0035419126328217238,0.002824858757062147,0.9617368085497316,0.9968171860430673,"(0.9779618978500366, 0.9830715656280518, 0.9805100560188293)",0.8437740188767876,0.9472812414169312,0.9677841663360596,0.9574229717254639,0.9779618978500366,0.9830715656280518,0.9805100560188293
209,0.13488372093023257,0.11652794292508918,0.786046511627907,0.8673929245020391,0.9417097983777626,"(0.9023013114929199, 0.9533894658088684, 0.9271422028541565)",0.952135053988925,0.004651162790697674,0.0005945303210463733,0.9953488372093023,0.9882484493883118,1.0000000000000007,"(0.9971175193786621, 0.9969713091850281, 0.9970443248748779)",0.9794293215430516,0.9023013114929199,0.9533894658088684,0.9271422028541565,0.9971175193786621,0.9969713091850281,0.9970443248748779
467,0.140625,0.13105076741440377,0.015625,0.8652138533211542,0.9771583572882855,"(0.9215332269668579, 0.9468270540237427, 0.9340089559555054)",0.8078949898080663,0.0,0.0,1.0,1.0,1.0000000000000002,"(0.9999998807907104, 0.9999998807907104, 0.9999998807907104)",1.0,0.9215332269668579,0.9468270540237427,0.9340089559555054,0.9999998807907104,0.9999998807907104,0.9999998807907104
292,0.16736401673640167,0.10819165378670788,0.008368200836820083,0.8218812107925474,0.9607509998847416,"(0.8737496733665466, 0.9156548976898193, 0.8942115902900696)",0.8108366979306559,0.04602510460251046,0.0030911901081916537,0.0041841004184100415,0.9201700136951991,0.994291141224209,"(0.994070291519165, 0.9948884844779968, 0.994479238986969)",0.905205408550705,0.8737496733665466,0.9156548976898193,0.8942115902900696,0.994070291519165,0.9948884844779968,0.994479238986969
500,0.08148148148148149,0.025347912524850896,0.14444444444444443,0.8739667678049677,0.9853257703609388,"(0.9697036743164062, 0.977164089679718, 0.9734196066856384)",0.9140236958271295,0.04814814814814815,0.007952286282306162,0.17777777777777778,0.9138726256836717,0.9907684117132753,"(0.9853331446647644, 0.9841118454933167, 0.9847221374511719)",0.9193508724251361,0.9697036743164062,0.977164089679718,0.9734196066856384,0.9853331446647644,0.9841118454933167,0.9847221374511719
629,0.06976744186046512,0.03926482873851295,0.7790697674418605,0.9157915669394348,0.974459617843692,"(0.9781540632247925, 0.9826109409332275, 0.9803774356842041)",0.942909377350633,0.05232558139534884,0.028404344193817876,0.5502958579881657,0.9308539481196335,0.9762642198501835,"(0.9787764549255371, 0.9726183414459229, 0.9756876826286316)",0.9292441059143806,0.9781540632247925,0.9826109409332275,0.9803774356842041,0.9787764549255371,0.9726183414459229,0.9756876826286316
144,0.04666666666666667,0.01896037494674052,0.03166666666666667,0.9195310391033084,0.993699991969315,"(0.9825277924537659, 0.9844889640808105, 0.9835074543952942)",0.9041011194180587,0.03333333333333333,0.004047720494247976,0.02847571189279732,0.929781451902807,0.9945298321811619,"(0.983185887336731, 0.9841061234474182, 0.9836457967758179)",0.9056356929478414,0.9825277924537659,0.9844889640808105,0.9835074543952942,0.983185887336731,0.9841061234474182,0.9836457967758179
101,0.2356902356902357,0.14053537284894838,0.006734006734006734,0.7110991451465296,0.9729195471440183,"(0.8334120512008667, 0.8923013210296631, 0.8618518710136414)",0.7996000261236089,0.0707070707070707,0.018164435946462717,0.3277027027027027,0.837448938328836,0.9999999999999957,"(0.9429875612258911, 0.9313582181930542, 0.9371368288993835)",0.927849765672509,0.8334120512008667,0.8923013210296631,0.8618518710136414,0.9429875612258911,0.9313582181930542,0.9371368288993835
444,1.0693069306930694,0.5214521452145214,0.0,0.0,0.0,"(0.9761556386947632, 0.9831563234329224, 0.9796434640884399)",0.6600643267816965,1.0,0.5001650165016501,0.0,0.0,0.0,"(1.0, 1.0, 1.0)",0.7494386714208686,0.9761556386947632,0.9831563234329224,0.9796434640884399,1.0,1.0,1.0
162,0.0932475884244373,0.08501026694045175,0.8038585209003215,0.8962911781400772,0.9809043564937475,"(0.9626632928848267, 0.9766033291816711, 0.9695832133293152)",0.9678407901912325,0.00964630225080386,0.0012320328542094457,0.9903536977491961,0.9764897328816647,0.9982549688902552,"(0.9941580891609192, 0.9939985275268555, 0.9940783381462097)",0.9987667851244877,0.9626632928848267,0.9766033291816711,0.9695832133293152,0.9941580891609192,0.9939985275268555,0.9940783381462097
273,0.15547024952015356,0.029263612377068843,0.1017274472168906,0.7462116825001145,0.7300059413535857,"(0.9403508901596069, 0.9451957941055298, 0.9427670836448669)",0.9105606956101328,0.12859884836852206,0.013432477812425042,0.09980806142034548,0.7654688389394068,0.7316703108443148,"(0.9573649764060974, 0.958024799823761, 0.9576947689056396)",0.9137425678426109,0.9403508901596069,0.9451957941055298,0.9427670836448669,0.9573649764060974,0.958024799823761,0.9576947689056396
332,0.21304347826086956,0.19657577679137603,0.013043478260869565,0.8015551542990764,0.9533683473062516,"(0.8885847330093384, 0.927821159362793, 0.9077791571617126)",0.7909379408129827,0.04782608695652174,0.046924540266328474,0.33043478260869563,0.9477722735505879,0.9858896252003962,"(0.9706389307975769, 0.967741847038269, 0.9691882133483887)",0.9236926794813544,0.8885847330093384,0.927821159362793,0.9077791571617126,0.9706389307975769,0.967741847038269,0.9691882133483887
163,0.0,0.0,1.0,1.0,1.0000000000000007,"(1.0, 1.0, 1.0)",1.0,0.0,0.0,1.0,1.0,1.0000000000000007,"(1.0, 1.0, 1.0)",1.0,1.0,1.0,1.0,1.0,1.0,1.0
654,0.048034934497816595,0.035202863961813845,0.40540540540540543,0.935808235357132,0.9886522198960975,"(0.9678369760513306, 0.9646353721618652, 0.9662335515022278)",0.9369287300645542,0.043668122270742356,0.03341288782816229,0.4072398190045249,0.9356940889492432,0.9898452862871756,"(0.9680847525596619, 0.9640232920646667, 0.9660497903823853)",0.9371445829281947,0.9678369760513306,0.9646353721618652,0.9662335515022278,0.9680847525596619,0.9640232920646667,0.9660497903823853
344,0.20125786163522014,0.18843120070113936,0.012578616352201259,0.8311280890452039,0.8874955911243766,"(0.8227231502532959, 0.8817657828330994, 0.8512218594551086)",0.7934821013842677,0.018867924528301886,0.012269938650306749,0.08333333333333333,0.9697278420002778,0.9976621547732067,"(0.9880036115646362, 0.9880309104919434, 0.9880172610282898)",0.9120091888449166,0.8227231502532959,0.8817657828330994,0.8512218594551086,0.9880036115646362,0.9880309104919434,0.9880172610282898
323,0.7851851851851852,0.5695115405260333,0.014814814814814815,0.7224727992772609,0.9675632324985676,"(0.8684009313583374, 0.9004957675933838, 0.8841571807861328)",0.805798002866848,0.014814814814814815,0.013419216317767043,0.17037037037037037,0.9729428878987685,0.9999999999999999,"(0.9990109205245972, 0.9988909363746643, 0.9989508986473083)",0.9056361284466653,0.8684009313583374,0.9004957675933838,0.8841571807861328,0.9990109205245972,0.9988909363746643,0.9989508986473083
504,0.05,0.03211267605633803,0.08461538461538462,0.9320276827675341,0.9914595777174239,"(0.9737114906311035, 0.9823930859565735, 0.9780330061912537)",0.9099737523048078,0.019230769230769232,0.016338028169014085,0.07692307692307693,0.9640899409867368,0.9985591637421519,"(0.9835906624794006, 0.983976423740387, 0.983783483505249)",0.9133214083315475,0.9737114906311035,0.9823930859565735,0.9780330061912537,0.9835906624794006,0.983976423740387,0.983783483505249
639,0.49606299212598426,0.34585635359116024,0.01834862385321101,0.47020642356094233,0.7128396020158636,"(0.7382977604866028, 0.7675339579582214, 0.7526320815086365)",0.779966494621612,0.4645669291338583,0.33812154696132596,0.0,0.4607059561907509,0.7380194623482239,"(0.7629213929176331, 0.76898193359375, 0.7659397125244141)",0.7779693222234147,0.7382977604866028,0.7675339579582214,0.7526320815086365,0.7629213929176331,0.76898193359375,0.7659397125244141
145,0.03202846975088968,0.007297605473204105,0.34759358288770054,0.946226850015772,0.9957007871180678,"(0.9843443632125854, 0.9858989119529724, 0.9851210713386536)",0.9099061123882429,0.026690391459074734,0.002508551881413911,0.1111111111111111,0.9489387430872321,0.9960547320436364,"(0.9892521500587463, 0.9901853203773499, 0.9897185564041138)",0.9155983863549203,0.9843443632125854,0.9858989119529724,0.9851210713386536,0.9892521500587463,0.9901853203773499,0.9897185564041138
104,0.3684210526315789,0.33410672853828305,0.0,0.7254204378043243,0.8287610384492957,"(0.8470031023025513, 0.9491451382637024, 0.8951697945594788)",0.764162883755338,0.15789473684210525,0.1925754060324826,1.0,0.8290291181804004,0.8803272641311939,"(0.9749119877815247, 0.8872714042663574, 0.9290294051170349)",0.9614849187935035,0.8470031023025513,0.9491451382637024,0.8951697945594788,0.9749119877815247,0.8872714042663574,0.9290294051170349
472,0.07727272727272727,0.0392638036809816,0.0,0.8929062475481303,0.9654010654125313,"(0.9255374670028687, 0.9493303298950195, 0.937282919883728)",0.8297747355773607,0.03636363636363636,0.004294478527607362,0.43577981651376146,0.9215323959463589,0.9958279076487332,"(0.9904611110687256, 0.9872435927391052, 0.9888496994972229)",0.9491102971472204,0.9255374670028687,0.9493303298950195,0.937282919883728,0.9904611110687256,0.9872435927391052,0.9888496994972229
333,0.04954954954954955,0.06407245890640724,0.018018018018018018,0.942779690659631,0.9917974276577051,"(0.9603515863418579, 0.9709993004798889, 0.9656460881233215)",0.8272951968886879,0.0022522522522522522,0.0003354579000335458,0.9977477477477478,0.9943406159077561,1.0,"(0.9946222901344299, 0.9945250153541565, 0.9945736527442932)",0.930828603511936,0.9603515863418579,0.9709993004798889,0.9656460881233215,0.9946222901344299,0.9945250153541565,0.9945736527442932
96,0.04262295081967213,0.040639861651534805,0.003278688524590164,0.9538746010609513,0.9923946661165503,"(0.9499075412750244, 0.9578837156295776, 0.9538789391517639)",0.8296085016341883,0.009836065573770493,0.0025940337224383916,0.993421052631579,0.9851628586668606,0.9967062510692251,"(0.9764949679374695, 0.9749597907066345, 0.9757267832756042)",0.986015431004525,0.9499075412750244,0.9578837156295776,0.9538789391517639,0.9764949679374695,0.9749597907066345,0.9757267832756042
487,0.07909604519774012,0.07569721115537849,0.009416195856873822,0.9649333909045514,0.9935030948581339,"(0.9615917205810547, 0.9643630385398865, 0.9629753828048706)",0.8410184804039275,0.07532956685499058,0.07470119521912351,0.009416195856873822,0.9714349443561358,0.9953555116934231,"(0.9622794985771179, 0.9649848937988281, 0.9636302590370178)",0.8412616970163005,0.9615917205810547,0.9643630385398865,0.9629753828048706,0.9622794985771179,0.9649848937988281,0.9636302590370178
412,0.037142857142857144,0.02069504099960953,0.011428571428571429,0.9536388701853248,0.9958365059443048,"(0.9617738127708435, 0.9716022610664368, 0.9666630625724792)",0.8374378271340163,0.02857142857142857,0.018352206169465052,0.011428571428571429,0.9704485501897714,0.9962966866672162,"(0.962699830532074, 0.9719160795211792, 0.9672860503196716)",0.8381897254865192,0.9617738127708435,0.9716022610664368,0.9666630625724792,0.962699830532074,0.9719160795211792,0.9672860503196716
316,0.10220994475138122,0.04667124227865477,0.0055248618784530384,0.8721453154853078,0.9680523335381008,"(0.9145692586898804, 0.9239702224731445, 0.919245719909668)",0.8339936889190388,0.994475138121547,0.988675360329444,0.0,7.624825318629725e-28,0.08247396554353734,"(0.4820002317428589, 0.31334102153778076, 0.379787802696228)",0.5088253849406904,0.9145692586898804,0.9239702224731445,0.919245719909668,0.4820002317428589,0.31334102153778076,0.379787802696228
401,0.034782608695652174,0.025847759070429216,0.0052173913043478265,0.9584815343093473,0.9942596166795726,"(0.9434846043586731, 0.9606876969337463, 0.9520084261894226)",0.8360418059207723,0.006956521739130435,0.0007114062129475931,0.22782608695652173,0.9851756367347142,1.0,"(1.0, 1.0, 1.0)",0.9221352875792772,0.9434846043586731,0.9606876969337463,0.9520084261894226,1.0,1.0,1.0
495,0.036613272311212815,0.029013539651837523,0.002288329519450801,0.9474880081715948,0.9870294503261489,"(0.9612127542495728, 0.9672120809555054, 0.9642030596733093)",0.8327404141362281,0.9176201372997712,0.9049000644745325,0.0,8.716798507139192e-06,0.29553921137796657,"(0.592138946056366, 0.5799598693847656, 0.5859861373901367)",0.5425770709458653,0.9612127542495728,0.9672120809555054,0.9642030596733093,0.592138946056366,0.5799598693847656,0.5859861373901367
417,0.027777777777777776,0.02021018593371059,0.0030864197530864196,0.9728503656004787,0.9967849395032993,"(0.960405707359314, 0.9727715253829956, 0.9665490388870239)",0.8387214350961569,0.0,0.0,1.0,1.0,1.0000000000000002,"(1.0, 1.0, 1.0)",1.0,0.960405707359314,0.9727715253829956,0.9665490388870239,1.0,1.0,1.0
420,0.20923913043478262,0.225,0.41847826086956524,0.8588991416965394,0.9796467446574612,"(0.9579902291297913, 0.9669315218925476, 0.9624401330947876)",0.8316999334497205,0.19021739130434784,0.19029850746268656,0.057065217391304345,0.8723619958722166,0.9813044770147508,"(0.9596037864685059, 0.9654695391654968, 0.9625277519226074)",0.833105614588619,0.9579902291297913,0.9669315218925476,0.9624401330947876,0.9596037864685059,0.9654695391654968,0.9625277519226074
371,0.1716101694915254,0.15604827392646647,0.01694915254237288,0.8736031136202047,0.9764753716545748,"(0.8879780769348145, 0.9048336148262024, 0.8963266015052795)",0.8180186030244174,0.1419491525423729,0.11900084198708953,0.0423728813559322,0.8928032768306109,0.9860127752728011,"(0.954840362071991, 0.953608512878418, 0.9542240500450134)",0.8974563852326233,0.8879780769348145,0.9048336148262024,0.8963266015052795,0.954840362071991,0.953608512878418,0.9542240500450134
476,1.001639344262295,0.5057988165680474,0.0,0.0,0.0,"(0.9582341313362122, 0.955203115940094, 0.9567162394523621)",0.6720213919328732,1.0,0.5044970414201183,0.0,0.0,0.0,"(0.962982177734375, 0.9608321189880371, 0.9619058966636658)",0.6988148950198765,0.9582341313362122,0.955203115940094,0.9567162394523621,0.962982177734375,0.9608321189880371,0.9619058966636658
