name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,final_symspell_wer,final_symspell_cer,final_symspell_pmr,final_symspell_bleu,final_symspell_cosine,final_symspell_indobert,final_llm_wer,final_llm_cer,final_llm_pmr,final_llm_bleu,final_llm_cosine,final_llm_indobert
355,0.041666666666666664,0.0165016501650165,0.9791666666666666,0.957870874785216,0.954499768533531,"(0.9877489805221558, 0.9920655488967896, 0.9899025559425354)",0.020833333333333332,0.0033003300330033004,0.9791666666666666,0.978482042633557,0.9691235339762346,"(0.9929782152175903, 0.9929782152175903, 0.9929782152175903)",0.2708333333333333,0.24092409240924093,0.0,0.8122655847982776,0.9262706259118868,"(0.9679652452468872, 0.9604306817054749, 0.9641832113265991)"
381,0.0847457627118644,0.05470287288469106,0.02824858757062147,0.8833445380981385,0.9852632697150394,"(0.9472812414169312, 0.9677841663360596, 0.9574229717254639)",0.01694915254237288,0.0035419126328217238,0.002824858757062147,0.9617368085497316,0.9964285100069034,"(0.9804025292396545, 0.9848657250404358, 0.9826290607452393)",0.01694915254237288,0.0027548209366391185,0.9830508474576272,0.9571941236697435,0.9956509443194399,"(0.9891840219497681, 0.988472580909729, 0.988828182220459)"
209,0.13488372093023257,0.11652794292508918,0.786046511627907,0.8673929245020391,0.9417097983777626,"(0.9023013114929199, 0.9533894658088684, 0.9271422028541565)",0.018604651162790697,0.0023781212841854932,0.9813953488372092,0.9599719744229558,0.9855999461502312,"(0.9916736483573914, 0.9917981624603271, 0.9917358756065369)",0.009302325581395349,0.0011890606420927466,0.9906976744186047,0.9764678040238909,1.0000000000000007,"(0.9966971278190613, 0.9966230988502502, 0.9966601133346558)"
467,0.140625,0.13105076741440377,0.015625,0.8652138533211542,0.9771583572882855,"(0.9215332269668579, 0.9468270540237427, 0.9340089559555054)",0.01953125,0.0029515938606847697,0.98046875,0.9505277735415318,0.9899229639116769,"(0.9820170998573303, 0.9775790572166443, 0.9797930121421814)",0.0703125,0.012396694214876033,0.078125,0.847254066354286,0.9703528779519024,"(0.977121889591217, 0.9646170735359192, 0.9708291888237)"
292,0.16736401673640167,0.10819165378670788,0.008368200836820083,0.8218812107925474,0.9607509998847416,"(0.8737496733665466, 0.9156548976898193, 0.8942115902900696)",0.04184100418410042,0.002575991756826378,0.0041841004184100415,0.9306167994746555,0.9968479303673471,"(0.9997768402099609, 0.9990818500518799, 0.9994292259216309)",0.03347280334728033,0.002575991756826378,0.0041841004184100415,0.9449346989374738,0.9968479303673471,"(0.9963201880455017, 0.9959281086921692, 0.9961240887641907)"
500,0.08148148148148149,0.025347912524850896,0.14444444444444443,0.8739667678049677,0.9853257703609388,"(0.9697036743164062, 0.977164089679718, 0.9734196066856384)",0.05185185185185185,0.008449304174950299,0.17777777777777778,0.9046116342231962,0.9889321838144745,"(0.9828379154205322, 0.9809902906417847, 0.9819132685661316)",0.06296296296296296,0.036779324055666,0.022727272727272728,0.9006405299153986,0.9861798840579763,"(0.9743039608001709, 0.9710854887962341, 0.9726920127868652)"
629,0.06976744186046512,0.03926482873851295,0.7790697674418605,0.9157915669394348,0.974459617843692,"(0.9781540632247925, 0.9826109409332275, 0.9803774356842041)",0.05232558139534884,0.028404344193817876,0.5502958579881657,0.9308539481196335,0.9762642198501835,"(0.9787764549255371, 0.9726183414459229, 0.9756876826286316)",0.05232558139534884,0.029239766081871343,0.012048192771084338,0.920241325384824,0.9802169446583169,"(0.9794426560401917, 0.9679709076881409, 0.9736729860305786)"
144,0.04666666666666667,0.01896037494674052,0.03166666666666667,0.9195310391033084,0.993699991969315,"(0.9825277924537659, 0.9844889640808105, 0.9835074543952942)",0.035,0.004260758414997869,0.02847571189279732,0.9255412630969491,0.9939825504634867,"(0.9838679432868958, 0.9846245646476746, 0.9842460751533508)",0.008333333333333333,0.0027694929697486153,0.9916666666666667,0.9849262675171498,0.9994547762573575,"(0.989923894405365, 0.9871423840522766, 0.988531231880188)"
101,0.2356902356902357,0.14053537284894838,0.006734006734006734,0.7110991451465296,0.9729195471440183,"(0.8334120512008667, 0.8923013210296631, 0.8618518710136414)",0.07407407407407407,0.01864244741873805,0.3277027027027027,0.8314158340286188,0.9987653983593419,"(0.941354513168335, 0.9297667741775513, 0.9355247616767883)",0.1111111111111111,0.023422562141491396,0.3333333333333333,0.7385670363183565,0.9990715178719507,"(0.9541240334510803, 0.9101256132125854, 0.9316055774688721)"
444,1.0693069306930694,0.5214521452145214,0.0,0.0,0.0,"(0.9761556386947632, 0.9831563234329224, 0.9796434640884399)",1.0,0.5004950495049505,0.0,0.0,0.0,"(0.9941030740737915, 0.9932816624641418, 0.99369215965271)",1.0,0.5011551155115511,0.0,0.0,0.0,"(0.991398811340332, 0.9895806908607483, 0.9904889464378357)"
162,0.0932475884244373,0.08501026694045175,0.8038585209003215,0.8962911781400772,0.9809043564937475,"(0.9626632928848267, 0.9766033291816711, 0.9695832133293152)",0.012861736334405145,0.0016427104722792608,0.9871382636655949,0.9675275385418106,0.9930378716803291,"(0.9940381646156311, 0.9918777346611023, 0.9929567575454712)",0.01929260450160772,0.006160164271047228,0.9839228295819936,0.9611902713380348,0.9986899373841333,"(0.9953242540359497, 0.9947174191474915, 0.9950206875801086)"
273,0.15547024952015356,0.029263612377068843,0.1017274472168906,0.7462116825001145,0.7300059413535857,"(0.9403508901596069, 0.9451957941055298, 0.9427670836448669)",0.1362763915547025,0.014391940513312544,0.09980806142034548,0.7465478357598975,0.7226110260773089,"(0.9560604691505432, 0.9571590423583984, 0.9566094875335693)",0.0690978886756238,0.014391940513312544,0.1017274472168906,0.8986158553191586,0.997136021228961,"(0.9930894374847412, 0.9935315847396851, 0.9933104515075684)"
332,0.21304347826086956,0.19657577679137603,0.013043478260869565,0.8015551542990764,0.9533683473062516,"(0.8885847330093384, 0.927821159362793, 0.9077791571617126)",0.04782608695652174,0.046924540266328474,0.33043478260869563,0.9477722735505879,0.9858896252003962,"(0.9706389307975769, 0.967741847038269, 0.9691882133483887)",0.06956521739130435,0.05326569435637286,0.2391304347826087,0.9033509183829356,0.984665650268515,"(0.9615960121154785, 0.960223913192749, 0.9609094858169556)"
163,0.0,0.0,1.0,1.0,1.0000000000000007,"(1.0, 1.0, 1.0)",0.0034482758620689655,0.00044863167339614175,0.996551724137931,0.9913116326190065,0.9981276034520675,"(0.9985418319702148, 0.9985292553901672, 0.9985355734825134)",0.017241379310344827,0.0026917900403768506,0.9827586206896551,0.9563969591976416,0.9953267531607151,"(0.9864630103111267, 0.9783840775489807, 0.9824069142341614)"
