name,baseline_wer,baseline_cer,baseline_pmr,baseline_bleu,baseline_cosine,baseline_indobert,final_symspell_wer,final_symspell_cer,final_symspell_pmr,final_symspell_bleu,final_symspell_cosine,final_symspell_indobert,final_llm_wer,final_llm_cer,final_llm_pmr,final_llm_bleu,final_llm_cosine,final_llm_indobert,baseline_indobert_P,baseline_indobert_R,baseline_indobert_F1,final_symspell_indobert_P,final_symspell_indobert_R,final_symspell_indobert_F1,final_llm_indobert_P,final_llm_indobert_R,final_llm_indobert_F1,baseline_jw,final_symspell_jw,final_llm_jw
355,0.0416666666666666,0.0165016501650165,0.9791666666666666,0.957870874785216,0.954499768533531,"(0.9877489805221558, 0.9920655488967896, 0.9899025559425354)",0.0208333333333333,0.0033003300330033,0.9791666666666666,0.978482042633557,0.9691235339762346,"(0.9929782152175903, 0.9929782152175903, 0.9929782152175903)",0.0208333333333333,0.0033003300330033,0.9791666666666666,0.978482042633557,0.9691235339762346,"(0.990852952003479, 0.9788253307342529, 0.9848024249076843)",0.9877489805221558,0.9920655488967896,0.9899025559425354,0.9929782152175904,0.9929782152175904,0.9929782152175904,0.990852952003479,0.9788253307342528,0.9848024249076844,0.9967532467532467,0.9993421052631579,0.9993421052631579
381,0.0847457627118644,0.054702872884691,0.0282485875706214,0.8833445380981385,0.9852632697150394,"(0.9472812414169312, 0.9677841663360596, 0.9574229717254639)",0.0169491525423728,0.0035419126328217,0.0028248587570621,0.9617368085497316,0.9964285100069034,"(0.9804025292396545, 0.9848657250404358, 0.9826290607452393)",0.0169491525423728,0.0027548209366391,0.9830508474576272,0.9571941236697435,0.990937196230294,"(0.9877673983573914, 0.9830232858657837, 0.9853896498680115)",0.9472812414169312,0.9677841663360596,0.957422971725464,0.9804025292396544,0.9848657250404358,0.9826290607452391,0.9877673983573914,0.9830232858657836,0.9853896498680116,0.8294109803961011,0.8446313101327485,0.9287127109858017
209,0.1348837209302325,0.1165279429250891,0.786046511627907,0.8673929245020391,0.9417097983777626,"(0.9023013114929199, 0.9533894658088684, 0.9271422028541565)",0.0186046511627906,0.0023781212841854,0.9813953488372092,0.9599719744229558,0.9855999461502312,"(0.9916736483573914, 0.9917981624603271, 0.9917358756065369)",0.0046511627906976,0.0005945303210463,0.9953488372093025,0.9882484493883118,1.0000000000000009,"(0.9971175193786621, 0.9969713091850281, 0.9970443248748779)",0.90230131149292,0.9533894658088684,0.9271422028541564,0.9916736483573914,0.9917981624603271,0.9917358756065368,0.997117519378662,0.996971309185028,0.997044324874878,0.952135053988925,0.971651561358657,0.9794293215430516
467,0.140625,0.1310507674144037,0.015625,0.8652138533211542,0.9771583572882856,"(0.9215332269668579, 0.9468270540237427, 0.9340089559555054)",0.01953125,0.0029515938606847,0.98046875,0.9505277735415318,0.9899229639116768,"(0.9820170998573303, 0.9775790572166443, 0.9797930121421814)",0.05078125,0.0082644628099173,0.078125,0.889988731930152,0.9765176643249142,"(0.9783064126968384, 0.9687597155570984, 0.973509669303894)",0.921533226966858,0.9468270540237428,0.9340089559555054,0.9820170998573304,0.9775790572166444,0.9797930121421814,0.9783064126968384,0.9687597155570984,0.973509669303894,0.8078949898080663,0.9329403460364161,0.9102368965023977
292,0.1673640167364016,0.1081916537867078,0.00836820083682,0.8218812107925474,0.9607509998847416,"(0.8737496733665466, 0.9156548976898193, 0.8942115902900696)",0.0418410041841004,0.0025759917568263,0.00418410041841,0.9306167994746556,0.9968479303673472,"(0.9997768402099609, 0.9990818500518799, 0.9994292259216309)",0.0334728033472803,0.0020607934054611,0.00418410041841,0.9449346989374738,0.9968479303673472,"(0.9997768402099609, 0.9990818500518799, 0.9994292259216309)",0.8737496733665466,0.9156548976898192,0.8942115902900696,0.9997768402099608,0.99908185005188,0.9994292259216307,0.9997768402099608,0.99908185005188,0.9994292259216307,0.8108366979306559,0.904277470053103,0.9044830732839856
500,0.0814814814814814,0.0253479125248508,0.1444444444444444,0.8739667678049677,0.9853257703609388,"(0.9697036743164062, 0.977164089679718, 0.9734196066856384)",0.0518518518518518,0.0084493041749502,0.1777777777777777,0.9046116342231962,0.9889321838144745,"(0.9828379154205322, 0.9809902906417847, 0.9819132685661316)",0.0481481481481481,0.0069582504970178,0.4703703703703704,0.9109214727862094,0.9889659713456176,"(0.9810951352119446, 0.9793225526809692, 0.9802079796791077)",0.9697036743164062,0.977164089679718,0.9734196066856384,0.9828379154205322,0.9809902906417848,0.9819132685661316,0.9810951352119446,0.9793225526809692,0.9802079796791076,0.9140236958271295,0.9191130274474003,0.9247300333422309
629,0.0697674418604651,0.0392648287385129,0.7790697674418605,0.9157915669394348,0.974459617843692,"(0.9781540632247925, 0.9826109409332275, 0.9803774356842041)",0.0523255813953488,0.0284043441938178,0.5502958579881657,0.9308539481196336,0.9762642198501836,"(0.9787764549255371, 0.9726183414459229, 0.9756876826286316)",0.0465116279069767,0.0275689223057644,0.5535714285714286,0.9307890379679646,0.9762642198501836,"(0.9787764549255371, 0.9726183414459229, 0.9756876826286316)",0.9781540632247924,0.9826109409332277,0.980377435684204,0.9787764549255372,0.9726183414459229,0.9756876826286316,0.9787764549255372,0.9726183414459229,0.9756876826286316,0.942909377350633,0.9292441059143806,0.9291965367038656
144,0.0466666666666666,0.0189603749467405,0.0316666666666666,0.9195310391033084,0.993699991969315,"(0.9825277924537659, 0.9844889640808105, 0.9835074543952942)",0.035,0.0042607584149978,0.0284757118927973,0.9255412630969492,0.9939825504634868,"(0.9838679432868958, 0.9846245646476746, 0.9842460751533508)",0.0066666666666666,0.0012782275244993,0.9483333333333334,0.9832769278251888,0.9994547762573576,"(0.9898964166641235, 0.98709636926651, 0.988494336605072)",0.982527792453766,0.9844889640808104,0.9835074543952942,0.9838679432868958,0.9846245646476746,0.9842460751533508,0.9898964166641236,0.98709636926651,0.988494336605072,0.9041011194180587,0.907280593978156,0.9131345554949498
101,0.2356902356902357,0.1405353728489483,0.0067340067340067,0.7110991451465296,0.9729195471440184,"(0.8334120512008667, 0.8923013210296631, 0.8618518710136414)",0.074074074074074,0.018642447418738,0.3277027027027027,0.8314158340286188,0.998765398359342,"(0.941354513168335, 0.9297667741775513, 0.9355247616767883)",0.0808080808080808,0.018642447418738,0.6599326599326599,0.8125710040838158,0.9990715178719508,"(0.938326358795166, 0.9288933277130127, 0.9335860013961792)",0.8334120512008667,0.8923013210296631,0.8618518710136414,0.941354513168335,0.9297667741775512,0.9355247616767884,0.938326358795166,0.9288933277130128,0.9335860013961792,0.7996000261236089,0.9287918397362471,0.9521034896811262
444,1.0693069306930694,0.5214521452145214,0.0,0.0,0.0,"(0.9761556386947632, 0.9831563234329224, 0.9796434640884399)",1.0,0.5004950495049505,0.0,0.0,0.0,"(0.9941030740737915, 0.9932816624641418, 0.99369215965271)",1.0,0.500990099009901,0.0,0.0,0.0,"(0.9935420751571655, 0.9923586249351501, 0.9929500222206116)",0.9761556386947632,0.9831563234329224,0.97964346408844,0.9941030740737916,0.9932816624641418,0.99369215965271,0.9935420751571656,0.99235862493515,0.9929500222206116,0.6600643267816965,0.7540501269606193,0.7541232997088673
162,0.0932475884244373,0.0850102669404517,0.8038585209003215,0.8962911781400772,0.9809043564937476,"(0.9626632928848267, 0.9766033291816711, 0.9695832133293152)",0.0128617363344051,0.0016427104722792,0.9871382636655948,0.9675275385418106,0.9930378716803292,"(0.9940381646156311, 0.9918777346611023, 0.9929567575454712)",0.0064308681672025,0.0008213552361396,0.9935691318327974,0.9837916396956315,1.0000000000000004,"(0.9959661960601807, 0.9944446682929993, 0.9952048659324646)",0.9626632928848268,0.9766033291816713,0.9695832133293152,0.9940381646156312,0.9918777346611024,0.9929567575454712,0.9959661960601808,0.9944446682929992,0.9952048659324646,0.9678407901912325,0.9368166656389872,0.9998357289527722
273,0.1554702495201535,0.0292636123770688,0.1017274472168906,0.7462116825001145,0.7300059413535857,"(0.9403508901596069, 0.9451957941055298, 0.9427670836448669)",0.1362763915547025,0.0143919405133125,0.0998080614203454,0.7465478357598975,0.7226110260773089,"(0.9560604691505432, 0.9571590423583984, 0.9566094875335693)",0.0767754318618042,0.0062365075557687,0.1055662188099808,0.8797018279246345,0.9962568606419312,"(0.9936919212341309, 0.9927947521209717, 0.9932431578636169)",0.9403508901596068,0.9451957941055298,0.9427670836448668,0.9560604691505432,0.9571590423583984,0.9566094875335692,0.9936919212341307,0.9927947521209716,0.9932431578636168,0.9105606956101328,0.9134249761354019,0.9155884826471467
